id,Date,Username,Raw_text,Url,Text
0,2022-10-20 23:49:50+00:00,JMatt_62,@Frances56033968 Hebe,https://twitter.com/JMatt_62/status/1583244129487970304,@USER Hebe
1,2022-10-20 23:49:33+00:00,TanV1982,"Dag lieve Sanne
Dag lieve Hebe
Ik hoop dat jullie elkaar vastgehouden hebben en dat blijven doen. 
Veel liefde en kracht voor iedereen rondom hen. ❤️ https://t.co/EDxIAuXz0t",https://twitter.com/TanV1982/status/1583244057119453184,"Dag lieve Sanne
Dag lieve Hebe
Ik hoop dat jullie elkaar vastgehouden hebben en dat blijven doen. 
Veel liefde en kracht voor iedereen rondom hen. ❤️ HTTP"
2,2022-10-20 23:47:25+00:00,DeGeuzen2,'Met het vinden van Sanne en Hebe zijn we niet klaar met ons onderzoek' https://t.co/Gm17jU1noh via @NOS Verschrikkelijk wat deze twee jonge mensen is overkomen. Afgrijselijk. R.I.P. Sanne en Hebe.....,https://twitter.com/DeGeuzen2/status/1583243522546618368,'Met het vinden van Sanne en Hebe zijn we niet klaar met ons onderzoek' HTTP via @USER Verschrikkelijk wat deze twee jonge mensen is overkomen. Afgrijselijk. R.I.P. Sanne en Hebe.....
3,2022-10-20 22:58:27+00:00,jacquelinezlata,r.i.p.rust zacht Sanne&amp;Hebe jullie zijn nu 2 prachtige engeltjes daarboven en knuffel samen met elkaar het verdriet is erg groot daarom wens ik alle familieleden en alle nabestaanden de komende tijd veel sterkte toe om dit te verwerken een zwaar verlies 🙏🙏 https://t.co/Y10lcwJz1U,https://twitter.com/jacquelinezlata/status/1583231196934590464,r.i.p.rust zacht Sanne&amp;Hebe jullie zijn nu 2 prachtige engeltjes daarboven en knuffel samen met elkaar het verdriet is erg groot daarom wens ik alle familieleden en alle nabestaanden de komende tijd veel sterkte toe om dit te verwerken een zwaar verlies 🙏🙏 HTTP
4,2022-10-20 22:54:49+00:00,daffie15,Deze foto zegt meer dan 1000 woorden. Mensen die ook maar 1 seconde dachten dat de vrouw het meisje wat aan had gedaan moeten zich kapot schamen. Rust zacht lieve #Hebe en #Sanne. Jullie laten je dierbare helaas te vroeg met intens verdriet achter. U wens ik dan ook veel sterkte https://t.co/ObiAMSZmnb,https://twitter.com/daffie15/status/1583230286266892288,Deze foto zegt meer dan 1000 woorden. Mensen die ook maar 1 seconde dachten dat de vrouw het meisje wat aan had gedaan moeten zich kapot schamen. Rust zacht lieve #Hebe en #Sanne. Jullie laten je dierbare helaas te vroeg met intens verdriet achter. U wens ik dan ook veel sterkte HTTP
5,2022-10-20 22:43:58+00:00,___OLYMPIA,"@CraterBearer

❛Hebe❟",https://twitter.com/___OLYMPIA/status/1583227554143801347,@USER
6,2022-10-20 22:41:04+00:00,PascaleLovenier,"“Die twee waren een liefdevol plaatje samen”: familie, vrienden en bekenden rouwen om onafscheidelijke Sanne en Hebe https://t.co/PYdgvH2tGf https://t.co/QiaQGg5uPA",https://twitter.com/PascaleLovenier/status/1583226825542897664,"“Die twee waren een liefdevol plaatje samen”: familie, vrienden en bekenden rouwen om onafscheidelijke Sanne en Hebe HTTP HTTP"
7,2022-10-20 22:20:48+00:00,HumbleZephyr,Wat laten die paar slecht acterende verrotte mediatrollen zich meeslepen i.v.m. fakenews Hebe Sanne Mark. Er is niemand die zoveel van fakenews houdt als de mediatrol. Nooit zou die enig teken van intellect verraden. Aandoenlijk.🤡,https://twitter.com/HumbleZephyr/status/1583221722081173504,Wat laten die paar slecht acterende verrotte mediatrollen zich meeslepen i.v.m. fakenews Hebe Sanne Mark. Er is niemand die zoveel van fakenews houdt als de mediatrol. Nooit zou die enig teken van intellect verraden. Aandoenlijk.🤡
8,2022-10-20 22:18:25+00:00,Downwind06,"Autopsie?
Om het een en ander uit te sluiten..💉

Politie gaat uit van noodlottig ongeval Hebe en Sanne: ’Alleen snelle redding had kunnen helpen’ https://t.co/HkUCGcfOrn via @telegraaf",https://twitter.com/Downwind06/status/1583221124199944193,"Autopsie?
Om het een en ander uit te sluiten..💉

Politie gaat uit van noodlottig ongeval Hebe en Sanne: ’Alleen snelle redding had kunnen helpen’ HTTP via @USER"
9,2022-10-20 22:16:03+00:00,hbvl,"“Hebe was voor Sanne een cadeautje, ze deed het werk vol liefde” https://t.co/vjBTBRlGCl https://t.co/Bxqg8kNZq8",https://twitter.com/hbvl/status/1583220528957227008,"“Hebe was voor Sanne een cadeautje, ze deed het werk vol liefde” HTTP HTTP"
